iter	RMSE
0	8462.898286
1	8230.625712
2	8006.535578
3	7788.61238
4	7578.31162
5	7375.1877
6	7178.410881
7	6987.541099
8	6805.053979
9	6627.53993
10	6456.30494
11	6290.054995
12	6129.605464
13	5973.15901
14	5823.12194
15	5678.585253
16	5539.112271
17	5402.724453
18	5272.891371
19	5147.294554
20	5025.554268
21	4910.146823
22	4796.612298
23	4688.557767
24	4582.320854
25	4481.893151
26	4385.96498
27	4293.01267
28	4203.19068
29	4116.630652
30	4033.336935
31	3951.459392
32	3875.516789
33	3800.619519
34	3729.331828
35	3661.077184
36	3596.357912
37	3534.956709
38	3475.19301
39	3417.377592
40	3360.797574
41	3306.071117
42	3256.313613
43	3206.509887
44	3160.211083
45	3114.638527
46	3071.484589
47	3030.100848
48	2990.958865
49	2952.179193
50	2917.032439
51	2883.364751
52	2850.514113
53	2819.530788
54	2789.809085
55	2761.86176
56	2733.933366
57	2708.608585
58	2683.232144
59	2660.398181
60	2638.292782
61	2617.613491
62	2595.981596
63	2576.706587
64	2557.614373
65	2541.113662
66	2525.101035
67	2507.989683
68	2492.938332
69	2478.787825
70	2465.540343
71	2452.777454
72	2439.360913
73	2427.548339
74	2416.364056
75	2405.68806
76	2396.027827
77	2386.392861
78	2375.91899
79	2367.230913
80	2359.401546
81	2351.418413
82	2344.142234
83	2335.996814
84	2329.203687
85	2322.560718
86	2316.340356
87	2310.179814
88	2304.601077
89	2299.506392
90	2294.206702
91	2287.935023
92	2283.21498
93	2278.267446
94	2274.142153
95	2269.717957
96	2265.98622
97	2261.863822
98	2256.977822
99	2253.465216
100	2248.419624
101	2244.606327
102	2239.847802
103	2235.361166
104	2231.971468
105	2229.386072
106	2226.889648
107	2224.538145
108	2220.60979
109	2217.927809
110	2215.580885
111	2212.571964
112	2209.469169
113	2207.068064
114	2205.190646
115	2203.111246
116	2200.116673
117	2197.916365
118	2194.921445
119	2192.534915
120	2190.299524
121	2188.103962
122	2186.602002
123	2184.703494
124	2182.616226
125	2181.198605
126	2179.235677
127	2177.015963
128	2175.318328
129	2174.060918
130	2172.30773
131	2169.653406
132	2167.972809
133	2165.869363
134	2164.157167
135	2161.891835
136	2160.58473
137	2159.080007
138	2157.744007
139	2155.402503
140	2153.905854
141	2152.448629
142	2151.544258
143	2150.510274
144	2149.643246
145	2148.258644
146	2146.818039
147	2145.515438
148	2144.70749
149	2143.671094
150	2142.724082
151	2141.46889
152	2140.782185
153	2139.604056
154	2137.646051
155	2136.724354
156	2135.496336
157	2134.192055
158	2132.78551
159	2131.060262
160	2130.06817
161	2128.978975
162	2127.598775
163	2126.476952
164	2126.004132
165	2125.490162
166	2124.467311
167	2123.661945
168	2122.739737
169	2122.086199
170	2121.561881
171	2120.644439
172	2119.564286
173	2118.85181
174	2118.016082
175	2117.097103
176	2116.162443
177	2114.934515
178	2114.47105
179	2113.763433
180	2112.829782
181	2111.704072
182	2110.583826
183	2109.035586
184	2108.479801
185	2107.351926
186	2106.220125
187	2104.884739
188	2104.079689
189	2102.665528
190	2102.085359
191	2101.404356
192	2100.252187
193	2099.384138
194	2098.751862
195	2098.284908
196	2097.507085
197	2096.298505
198	2095.309539
199	2094.636183
200	2093.723674
201	2093.326155
202	2092.74984
203	2092.160418
204	2091.532256
205	2090.613445
206	2089.118347
207	2088.358472
208	2087.841258
209	2086.432117
210	2085.542026
211	2084.715548
212	2083.993746
213	2083.559205
214	2082.641606
215	2081.983657
216	2081.403657
217	2080.730762
218	2079.857555
219	2079.083841
220	2078.285069
221	2077.025089
222	2076.583251
223	2076.051033
224	2075.347035
225	2074.855802
226	2074.189487
227	2073.576535
228	2072.763812
229	2072.115955
230	2071.32436
231	2070.895619
232	2070.360113
233	2069.836225
234	2068.933945
235	2068.043877
236	2067.729444
237	2067.028091
238	2066.466355
239	2065.66428
240	2065.055447
241	2063.929962
242	2063.397912
243	2062.550931
244	2062.257535
245	2061.548696
246	2061.009272
247	2060.657254
248	2059.699978
249	2059.061003
250	2057.956511
251	2056.9488
252	2056.213765
253	2055.733571
254	2054.759163
255	2054.403106
256	2053.480694
257	2052.817897
258	2052.032546
259	2051.544804
260	2050.916274
261	2050.206892
262	2049.710114
263	2048.967343
264	2048.311644
265	2047.734184
266	2047.358946
267	2046.698706
268	2045.780045
269	2045.010508
270	2044.465035
271	2044.203757
272	2043.699617
273	2043.101894
274	2042.261776
275	2041.785525
276	2041.346463
277	2040.842727
278	2040.283965
279	2039.600735
280	2039.070878
281	2038.608325
282	2038.114742
283	2037.752161
284	2037.066343
285	2036.558043
286	2035.618151
287	2034.885965
288	2034.379809
289	2033.593582
290	2033.164837
291	2032.841674
292	2032.203525
293	2031.866862
294	2031.594807
295	2030.920751
296	2030.286308
297	2029.961623
298	2029.536719
299	2029.175512
300	2028.530535
301	2028.015951
302	2027.36275
303	2026.973416
304	2026.16037
305	2025.83845
306	2025.243454
307	2024.743097
308	2024.082973
309	2023.622897
310	2023.431683
311	2023.08143
312	2022.793472
313	2022.201634
314	2021.883595
315	2021.259663
316	2020.92686
317	2020.323312
318	2019.715364
319	2019.438574
320	2019.203416
321	2018.94138
322	2018.474344
323	2018.233277
324	2017.657331
325	2017.045772
326	2016.62353
327	2016.161456
328	2015.59641
329	2015.31724
330	2015.06791
331	2014.385666
332	2014.045066
333	2013.402335
334	2013.006072
335	2012.475352
336	2011.921712
337	2011.657761
338	2011.210107
339	2010.475717
340	2010.103994
341	2009.41738
342	2009.164368
343	2008.887671
344	2008.489777
345	2008.080942
346	2007.695377
347	2007.379349
348	2006.882236
349	2006.450531
350	2006.104458
351	2005.704972
352	2005.271903
353	2004.784232
354	2004.350252
355	2004.21483
356	2003.548901
357	2003.019393
358	2002.51548
359	2002.199205
360	2001.97415
361	2001.440402
362	2001.19355
363	2000.90943
364	2000.620916
365	1999.993316
366	1999.470302
367	1999.171409
368	1998.958499
369	1998.553803
370	1998.313265
371	1997.98879
372	1997.692873
373	1997.369348
374	1996.934272
375	1996.442897
376	1996.190183
377	1995.938233
378	1995.381823
379	1994.986031
380	1994.39042
381	1994.098224
382	1993.63129
383	1993.418125
384	1992.808504
385	1992.339662
386	1992.191599
387	1992.003836
388	1991.661135
389	1991.180612
390	1990.864005
391	1990.558649
392	1990.230745
393	1989.947424
394	1989.41307
395	1989.076716
396	1988.66639
397	1988.325564
398	1988.112825
399	1987.788889
400	1987.467269
401	1986.925177
402	1986.688552
403	1986.400359
404	1986.090537
405	1985.77361
406	1985.259333
407	1985.091903
408	1984.740554
409	1984.51917
410	1984.009641
411	1983.799451
412	1983.477976
413	1982.709553
414	1982.357099
415	1982.027531
416	1981.802816
417	1981.616181
418	1981.169626
419	1980.907844
420	1980.562328
421	1980.145332
422	1979.965767
423	1979.593357
424	1979.15546
425	1978.858459
426	1978.5904
427	1978.116401
428	1977.701735
429	1977.528639
430	1977.151801
431	1976.862257
432	1976.549746
433	1976.328742
434	1975.968472
435	1975.631174
436	1975.424694
437	1974.952539
438	1974.709718
439	1974.391484
440	1973.879221
441	1973.585226
442	1973.425555
443	1973.020713
444	1972.701619
445	1972.398245
446	1971.994961
447	1971.745538
448	1971.576448
449	1971.217839
450	1970.844237
451	1970.371554
452	1970.093971
453	1969.907115
454	1969.648142
455	1969.322548
456	1969.140743
457	1968.963447
458	1968.536301
459	1968.120078
460	1967.835559
461	1967.605464
462	1967.251645
463	1966.946981
464	1966.670151
465	1966.432441
466	1966.231923
467	1965.945472
468	1965.760464
469	1965.391324
470	1965.003842
471	1964.669849
472	1964.411256
473	1964.024182
474	1963.791389
475	1963.629732
476	1963.165881
477	1962.805361
478	1962.433422
479	1962.038002
480	1961.873853
481	1961.735488
482	1961.421543
483	1961.113759
484	1960.911133
485	1960.561797
486	1960.400297
487	1960.158429
488	1959.814801
489	1959.625922
490	1959.349027
491	1959.086597
492	1958.783248
493	1958.59335
494	1958.330862
495	1958.101403
496	1957.921993
497	1957.700874
498	1957.379319
499	1957.063094
500	1956.855325
501	1956.591479
502	1956.123363
503	1955.886324
504	1955.658115
505	1955.425595
506	1955.276262
507	1955.062224
508	1954.724348
509	1954.466578
510	1954.261483
511	1953.983519
512	1953.557396
513	1953.423867
514	1953.272819
515	1953.056997
516	1952.85119
517	1952.61206
518	1952.210342
519	1951.994224
520	1951.878348
521	1951.5547
522	1951.243503
523	1951.051416
524	1950.364512
525	1950.118554
526	1949.831968
527	1949.551217
528	1949.29913
529	1948.852799
530	1948.609821
531	1948.466928
532	1948.009793
533	1947.790579
534	1947.317837
535	1947.114742
536	1946.990293
537	1946.755004
538	1946.615105
539	1946.202385
540	1945.911316
541	1945.703008
542	1945.446567
543	1945.230188
544	1945.038246
545	1944.73925
546	1944.553079
547	1943.898195
548	1943.769192
549	1943.607036
550	1943.433117
551	1943.156919
552	1943.017934
553	1942.753692
554	1942.420719
555	1942.200131
556	1941.959267
557	1941.842154
558	1941.398049
559	1941.202752
560	1940.911
561	1940.536545
562	1940.160636
563	1939.779082
564	1939.587724
565	1939.328005
566	1939.029121
567	1938.81751
568	1938.53612
569	1938.284043
570	1937.92456
571	1937.653961
572	1937.315488
573	1936.902185
574	1936.77503
575	1936.620506
576	1936.371299
577	1936.024811
578	1935.700713
579	1935.502832
580	1935.245027
581	1934.987027
582	1934.768265
583	1934.637649
584	1934.460506
585	1934.284193
586	1934.060079
587	1933.852954
588	1933.588788
589	1933.35266
590	1933.16491
591	1932.957272
592	1932.780295
593	1932.654925
594	1932.40534
595	1932.216002
596	1932.076256
597	1931.920127
598	1931.664182
599	1931.452878
600	1931.192577
601	1930.96397
602	1930.797688
603	1930.653902
604	1930.390741
605	1930.245715
606	1929.99243
607	1929.747245
608	1929.453482
609	1929.293725
610	1928.99002
611	1928.72571
612	1928.501759
613	1928.294401
614	1928.138681
615	1928.021245
616	1927.824012
617	1927.252386
618	1927.124922
619	1926.980298
620	1926.80194
621	1926.562686
622	1926.443394
623	1926.255304
624	1926.09407
625	1925.768772
626	1925.50791
627	1925.231751
628	1924.984164
629	1924.75376
630	1924.591007
631	1924.331947
632	1924.18036
633	1924.027493
634	1923.91086
635	1923.564553
636	1923.248099
637	1923.085471
638	1922.89676
639	1922.765695
640	1922.569524
641	1922.354564
642	1922.11219
643	1921.921352
644	1921.727265
645	1921.567659
646	1921.30384
647	1921.194454
648	1920.873435
649	1920.701369
650	1920.574039
651	1920.424315
652	1920.183415
653	1919.821721
654	1919.61824
655	1919.253677
656	1918.913571
657	1918.703942
658	1918.425068
659	1918.19742
660	1918.026235
661	1917.804143
662	1917.728149
663	1917.480223
664	1917.288848
665	1917.149641
666	1916.99859
667	1916.680935
668	1916.468548
669	1916.28652
670	1916.022607
671	1915.791903
672	1915.64801
673	1915.441482
674	1915.100938
675	1915.00303
676	1914.865819
677	1914.528694
678	1914.234895
679	1914.079633
680	1913.932228
681	1913.786656
682	1913.681149
683	1913.447939
684	1913.236233
685	1912.947
686	1912.729125
687	1912.402866
688	1912.18772
689	1912.031112
690	1911.82295
691	1911.569529
692	1911.416065
693	1911.280063
694	1910.991901
695	1910.873911
696	1910.663479
697	1910.58791
698	1910.300976
699	1910.083695
700	1909.903685
701	1909.586684
702	1909.456831
703	1909.26594
704	1909.038811
705	1908.906639
706	1908.731658
707	1908.600915
708	1908.308033
709	1908.104073
710	1907.968782
711	1907.838904
712	1907.53994
713	1907.367971
714	1907.067819
715	1906.981118
716	1906.870768
717	1906.65912
718	1906.49767
719	1906.319599
720	1906.122726
721	1906.031711
722	1905.894951
723	1905.760959
724	1905.577438
725	1905.2888
726	1905.193991
727	1905.07736
728	1904.830436
729	1904.667601
730	1904.437328
731	1904.283631
732	1904.01978
733	1903.951876
734	1903.849241
735	1903.706338
736	1903.588363
737	1903.425107
738	1903.115132
739	1902.879654
740	1902.66706
741	1902.528213
742	1902.224694
743	1902.087263
744	1901.946559
745	1901.806037
746	1901.691917
747	1901.49665
748	1901.367072
749	1901.271364
750	1900.767642
751	1900.604566
752	1900.232215
753	1899.954697
754	1899.679427
755	1899.48552
756	1899.328021
757	1899.153017
758	1899.057618
759	1898.922742
760	1898.778829
761	1898.676222
762	1898.533129
763	1898.407179
764	1898.198572
765	1898.026165
766	1897.948921
767	1897.833779
768	1897.670049
769	1897.543707
770	1897.409803
771	1897.111561
772	1897.000576
773	1896.838253
774	1896.706298
775	1896.632002
776	1896.456089
777	1896.334377
778	1896.140034
779	1895.826859
780	1895.593442
781	1895.306747
782	1895.185302
783	1895.017136
784	1894.863088
785	1894.746585
786	1894.453219
787	1894.255539
788	1894.065617
789	1893.909039
790	1893.648371
791	1893.544584
792	1893.414975
793	1893.284701
794	1893.11356
795	1892.999398
796	1892.938922
797	1892.859742
798	1892.768919
799	1892.634366
800	1892.521363
801	1892.282728
802	1892.11993
803	1892.006447
804	1891.870974
805	1891.686541
806	1891.42608
807	1891.323357
808	1891.168984
809	1891.014786
810	1890.854347
811	1890.678124
812	1890.47865
813	1890.386193
814	1890.228162
815	1890.014224
816	1889.955891
817	1889.692635
818	1889.496892
819	1889.385921
820	1889.233395
821	1889.146969
822	1888.980828
823	1888.647144
824	1888.416021
825	1888.291181
826	1888.148717
827	1888.063607
828	1887.924815
829	1887.623947
830	1887.517412
831	1887.382845
832	1887.289704
833	1887.012508
834	1886.866639
835	1886.6112
836	1886.421284
837	1886.33657
838	1886.120438
839	1885.933846
840	1885.77602
841	1885.658947
842	1885.586518
843	1885.47267
844	1885.356615
845	1885.233171
846	1884.903725
847	1884.69292
848	1884.513125
849	1884.243685
850	1884.072473
851	1883.980059
852	1883.799056
853	1883.644521
854	1883.554426
855	1883.494953
856	1883.340561
857	1883.093093
858	1882.998663
859	1882.854837
860	1882.67652
861	1882.388801
862	1882.310413
863	1881.945596
