iter	Passed	Remaining
0	16	16594
1	30	15406
2	45	15143
3	58	14608
4	70	14049
5	83	13832
6	95	13502
7	108	13422
8	117	12987
9	131	12989
10	144	12955
11	158	13014
12	171	12995
13	184	12972
14	197	12992
15	221	13645
16	234	13559
17	248	13533
18	260	13468
19	273	13413
20	286	13372
21	299	13320
22	332	14116
23	345	14061
24	359	14009
25	372	13947
26	385	13894
27	398	13849
28	415	13910
29	428	13857
30	441	13813
31	463	14008
32	475	13936
33	488	13867
34	500	13791
35	512	13736
36	525	13685
37	539	13665
38	552	13621
39	566	13584
40	582	13630
41	595	13591
42	610	13576
43	623	13552
44	637	13529
45	656	13606
46	670	13598
47	686	13612
48	700	13594
49	714	13566
50	728	13553
51	744	13574
52	761	13608
53	776	13607
54	789	13565
55	803	13547
56	818	13544
57	833	13541
58	847	13521
59	870	13632
60	884	13617
61	898	13589
62	911	13562
63	925	13533
64	939	13518
65	953	13495
66	966	13461
67	980	13432
68	994	13412
69	1007	13384
70	1020	13357
71	1034	13332
72	1047	13303
73	1061	13281
74	1075	13264
75	1088	13228
76	1102	13213
77	1115	13188
78	1128	13161
79	1143	13145
80	1162	13189
81	1190	13322
82	1203	13292
83	1216	13269
84	1238	13330
85	1253	13318
86	1266	13291
87	1298	13460
88	1313	13445
89	1327	13423
90	1340	13386
91	1355	13381
92	1368	13346
93	1381	13313
94	1402	13364
95	1416	13335
96	1429	13306
97	1448	13333
98	1461	13304
99	1475	13275
100	1488	13245
101	1501	13216
102	1513	13181
103	1526	13151
104	1538	13116
105	1551	13085
106	1564	13059
107	1577	13032
108	1600	13079
109	1612	13048
110	1625	13021
111	1638	12989
112	1650	12958
113	1663	12932
114	1677	12907
115	1691	12889
116	1708	12893
117	1735	12970
118	1748	12945
119	1761	12917
120	1773	12886
121	1786	12854
122	1799	12827
123	1811	12797
124	1825	12779
125	1838	12753
126	1851	12729
127	1865	12708
128	1878	12681
129	1891	12656
130	1904	12634
131	1918	12612
132	1931	12589
133	1949	12599
134	1963	12579
135	1977	12565
136	1991	12548
137	2007	12540
138	2021	12523
139	2034	12498
140	2055	12524
141	2069	12501
142	2082	12479
143	2095	12455
144	2108	12430
145	2132	12472
146	2144	12446
147	2158	12425
148	2171	12403
149	2185	12381
150	2198	12358
151	2210	12332
152	2223	12310
153	2236	12287
154	2250	12270
155	2263	12245
156	2276	12224
157	2289	12200
158	2302	12178
159	2315	12155
160	2328	12136
161	2342	12114
162	2354	12091
163	2367	12069
164	2380	12044
165	2393	12023
166	2406	12001
167	2418	11977
168	2431	11955
169	2443	11931
170	2456	11907
171	2469	11885
172	2481	11863
173	2494	11839
174	2506	11818
175	2519	11795
176	2544	11830
177	2557	11809
178	2575	11813
179	2588	11792
180	2601	11772
181	2613	11747
182	2626	11724
183	2638	11702
184	2667	11752
185	2682	11738
186	2694	11714
187	2707	11693
188	2719	11669
189	2742	11692
190	2757	11681
191	2770	11658
192	2782	11635
193	2795	11614
