iter	RMSE
0	3219.3645
1	3173.563953
2	3129.85749
3	3089.297612
4	3050.130198
5	3012.811976
6	2977.802815
7	2943.937837
8	2910.505438
9	2880.184352
10	2849.753284
11	2821.309336
12	2794.928925
13	2770.138619
14	2746.310706
15	2722.542658
16	2699.041195
17	2678.464406
18	2658.84124
19	2640.212196
20	2621.557565
21	2602.89508
22	2586.17591
23	2570.497362
24	2554.184329
25	2540.409951
26	2524.402711
27	2511.131779
28	2497.430294
29	2484.873729
30	2471.590332
31	2459.026258
32	2449.015797
33	2439.272871
34	2429.587307
35	2420.95358
36	2410.594191
37	2402.06957
38	2393.97608
39	2384.942008
40	2377.828713
41	2371.080605
42	2364.284099
43	2358.294609
44	2352.443509
45	2346.612916
46	2340.932621
47	2335.266379
48	2330.063284
49	2325.211137
50	2320.169952
51	2314.244875
52	2310.145424
53	2304.684435
54	2300.761375
55	2296.612907
56	2291.70687
57	2287.081029
58	2283.354846
59	2280.23418
60	2277.184637
61	2273.974632
62	2270.912677
63	2268.129385
64	2264.385596
65	2261.827421
66	2259.275278
67	2255.353502
68	2252.814731
69	2250.293667
70	2247.967115
71	2245.914018
72	2242.897835
73	2239.607469
74	2237.468696
75	2235.623326
76	2232.61088
77	2230.222359
78	2228.305192
79	2226.406633
80	2224.146083
81	2222.16834
82	2220.331979
83	2218.51561
84	2216.862272
85	2215.44676
86	2213.502463
87	2211.998431
88	2210.62983
89	2208.834113
90	2207.25741
91	2206.064952
92	2204.517823
93	2203.128597
94	2201.597431
95	2200.116897
96	2198.579139
97	2197.416637
98	2195.209738
99	2193.756953
100	2192.417216
101	2190.405324
102	2189.005102
103	2187.713245
104	2186.695855
105	2185.398309
106	2184.275526
107	2182.615361
108	2180.993732
109	2179.84362
110	2178.634806
111	2176.799611
112	2174.977396
113	2173.470459
114	2171.481927
115	2169.960298
116	2168.253282
117	2165.820717
118	2164.432336
119	2163.580953
120	2162.242597
121	2161.585167
122	2160.080198
123	2158.758679
124	2157.690763
125	2156.881133
126	2155.669542
127	2154.983371
128	2154.311591
129	2152.051079
130	2149.895354
131	2147.845053
132	2146.590829
133	2145.652482
134	2144.512662
135	2143.52691
136	2142.383325
137	2140.982826
138	2139.350102
139	2138.478569
140	2137.146016
141	2136.03892
142	2134.492005
143	2133.83803
144	2132.027915
145	2131.362492
146	2130.35949
147	2129.327964
148	2128.532793
149	2127.842226
150	2126.854201
151	2125.432915
152	2124.468382
153	2123.2117
154	2122.165765
155	2121.55711
156	2120.459942
157	2119.508017
158	2118.259779
159	2117.128764
160	2116.360066
161	2114.745471
162	2113.873642
163	2112.944968
164	2112.031267
165	2111.198084
166	2109.989184
